Book Name,OPN,CON,EXT,AGR,NEU,Clusters
Vikings: A Concise History of the Vikings (Kindle Edition),4.162680354,3.543383134,3.309609632,3.511556058,2.625620244,3
France: A History: from Gaul to de Gaulle (Kindle Edition),4.180922,3.542116977,3.286234776,3.64533069,2.420080655,4
France: A History (Kindle Edition),4.148006603,3.470651264,3.244642877,3.604083197,2.529869168,0
Rise to Greatness: The History of Canada From the Vikings to the Present (Hardcover),4.119915624,3.471550595,3.305510136,3.539754632,2.539987203,15
Eastern Europe!: Everything You Need to Know About the History (and More) of a Region that Shaped Our World and Still Does,4.166994618,3.463007095,3.337421234,3.673260456,2.578723341,1
A History of Japan (Paperback),4.136292509,3.469432543,3.32318247,3.528068817,2.612864722,15
"A Brief History of Indonesia: Sultans, Spices, and Tsunamis: The Incredible Story of Southeast Asia's Largest Nation (Paperback)",4.210824154,3.464067047,3.307736509,3.621433833,2.532132162,2
The History of Iceland (Paperback),4.162322659,3.445020876,3.260340128,3.714469064,2.522234247,0
Restless Empire: A Historical Atlas of Russia (Hardcover),4.211372835,3.439753399,3.249565455,3.63878579,2.408535927,2
Holland The History of the Netherlands (Kindle Edition),4.265188174,3.541831968,3.123777881,3.513137298,2.545869149,3
The Worlds of Medieval Europe (Paperback),4.182225125,3.479557881,3.291057772,3.612506393,2.586206219,0
"Royalty's Strangest Characters: Extraordinary But True Tales from 2,000 Years of Mad Monarchs and Raving Rulers (Strangest series)",4.171049195,3.531765318,3.188378569,3.63422867,2.587607188,3
Thunder God (Paperback),4.215152978,3.492462671,3.35364992,3.586168839,2.576881455,2
The Tragedy of Sohrab and Rostam: Revised Edition (Paperback),4.255560282,3.57785982,3.169157542,3.711030179,2.48884978,10
Queenship in Medieval Europe (Hardcover),4.317434918,3.589182018,2.81428385,3.739836261,2.582378798,8
The Cartoon History of the Universe III: From the Rise of Arabia to the Renaissance (Paperback),4.186327609,3.516233818,3.300633444,3.606255566,2.55433203,3
The Raven and the Cross (Erik Haraldsson Book 2),4.243246456,3.3976081,3.492084138,3.51402206,2.424527131,2
Bloodaxe (Erik Haraldsson #1),4.177692741,3.416973196,3.268765521,3.570174536,2.66567047,9
Vietnam: A New History (Hardcover),4.168136928,3.577298353,3.280944955,3.551625004,2.50661802,4
History of Norway (Kindle Edition),4.034101154,3.492732703,3.301795538,3.436551651,2.749422133,11
The Gates of Europe: A History of Ukraine (Hardcover),4.186512486,3.524445816,3.344971639,3.6060355,2.48284494,2
Viet Nam: A History from Earliest Times to the Present (Hardcover),4.144713684,3.565969997,3.322189475,3.59822343,2.469236635,4
The Pursuit of Italy (Hardcover),4.190330238,3.552958221,3.393708209,3.544751159,2.489313336,21
India: A History (Paperback),4.139042138,3.552294524,3.287333783,3.670066825,2.41482796,4
Fire and Blood: A History of Mexico (Paperback),4.144411439,3.52775808,3.299865233,3.571967729,2.522703973,0
War in Human Civilization (Hardcover),4.202532594,3.674095725,3.325034156,3.604817044,2.410372956,4
Medieval Women: A Social History of Women in England 450-1500 (Paperback),4.120190851,3.493113806,3.301014107,3.66036385,2.599737836,0
China's Cosmopolitan Empire: The Tang Dynasty (Hardcover),4.20600833,3.448185498,3.267549875,3.619913667,2.54036161,0
The Age of Confucian Rule: The Song Transformation of China (Hardcover),4.202982638,3.411000946,3.32550112,3.553388026,2.595909248,15
Queens and Queenship in Medieval Europe: Proceedings of a Conference Held at King's College London April 1995 (Paperback),4.305270616,3.466790204,3.028859414,3.723823423,2.798174971,8
Alternate Histories of the World (Hardcover),4.193275848,3.46493465,3.244228811,3.624296952,2.604390541,0
"The Arabian Nights: Tales of 1001 Nights, Volume 1 (Paperback)",4.287407458,3.505557503,3.195942626,3.562983226,2.56383147,18
"The Arabian Nights: Tales of 1001 Nights, Volume 2 (Paperback)",4.2599887,3.477719627,3.180977686,3.545012698,2.615256885,18
The Earth and Its Peoples: A Global History (Hardcover),4.116608875,3.340012032,3.267591245,3.65369296,2.645064019,5
The Virgin in the Ice (Chronicles of Brother Cadfael #6),4.283430002,3.487229599,3.23179385,3.615991741,2.548430507,18
The Way of Sufi Chivalry (Paperback),4.208872521,3.505571426,3.197885298,3.587031406,2.720941624,6
The Elements Encyclopedia of the Celts (Paperback),4.17086691,3.467190017,3.26103257,3.665299604,2.669849488,13
The Irish - A Treasury of Art and Literature (Hardcover),4.481274586,3.785356396,3.215513188,3.550448585,2.676619298,28
Civilisation (Paperback),4.268887084,3.529225625,3.281088337,3.586648803,2.574956659,3
Women at Work in Medieval Europe (Hardcover),4.053435507,3.564493768,3.410222013,3.68923512,2.546209694,7
The Adventure of English: The Biography of a Language (Paperback),4.234773796,3.38068371,3.126558165,3.659885763,2.593523386,25
Saga: A Novel of Medieval Iceland (Hardcover),4.187815518,3.469931221,3.288718835,3.538861879,2.633992359,9
The True Story of Hansel and Gretel (Paperback),4.195134795,3.513720087,3.275655454,3.586534905,2.615933902,0
Athelstan: The Making of England (Hardcover),4.227242467,3.472340132,3.35009665,3.540383394,2.575949955,7
"Medieval Iberia: Readings from Christian, Muslim, and Jewish Sources (Paperback)",4.2172549,3.521957617,3.275975422,3.662602754,2.595376659,10
Sexuality and Its Impact on History: The British Stripped Bare (Paperback),4.158255671,3.52816738,3.223069538,3.637083946,2.64305996,18
"God's Hammer (Hakon's Saga, #1)",4.193319463,3.435518763,3.215544134,3.569134945,2.655237868,25
1066 and All That: A Memorable History of England (Paperback),4.17835441,3.437175804,3.239547659,3.62590648,2.579048691,0
"The Anglo-Saxon Chronicles: The Authenic Voices of England, from the Time of Julius Caesar to the Coronation of Henry II (Hardcover)",4.244267593,3.487734696,3.344847178,3.62109804,2.542092724,2
Les MisÃ©rables (Mass Market Paperback),4.283279382,3.430032538,3.388363646,3.580458288,2.582594386,2
A Short History of Opera (Hardcover),4.196300935,3.383216741,3.131918943,3.641468628,2.632507103,25
A Rhyming History of Britain: 55 B.C.-A.D. 1966 (Paperback),4.236712244,3.519407708,3.360958184,3.629161312,2.554295981,2
London: The Biography (Paperback),4.234131606,3.468534738,3.369347744,3.515624103,2.645800996,15
The Illustrated Encyclopedia of Royal Britain: A Magnificent Study of Britain's Royal Heritage With (Paperback),4.136732142,3.339483489,3.325263263,3.644949791,2.71539207,5
Albion: The Origins of the English Imagination (Paperback),4.202270557,3.452969584,3.287824569,3.652789791,2.452628199,10
Royal Panoply: Brief Lives of the English Monarchs (Hardcover),4.188484218,3.493579895,3.28155726,3.605456178,2.574212641,0
The Kings and Queens of England (Hardcover),4.134417586,3.405948171,3.301493621,3.681179538,2.696944274,13
High Kings and Vikings (Paperback),4.175022306,3.326675233,3.366876813,3.407118792,2.667574402,9
What's in a Surname?: A Journey from Abercrombie to Zwicker (Hardcover),4.039709797,3.413850989,3.277052004,3.539661619,2.645693008,7
Character Is Destiny: Inspiring Stories Every Young Person Should Know and Every Adult Should Remember (Hardcover),4.203164314,3.435464844,3.256434325,3.66661802,2.69050006,6
Atlas Of Irish History (Paperback),4.11603416,3.349166209,3.237041264,3.648483048,2.592947057,25
The Course of Irish History (Paperback),4.248027317,3.544894188,3.268739827,3.594781156,2.577540057,3
London: A Social History (Paperback),4.201568858,3.570226087,3.468144804,3.477979557,2.621561326,2
The Lion in the North (Paperback),4.207649442,3.444516791,3.451294462,3.611252331,2.499890542,2
The Sagas of Icelanders (Paperback),4.172924134,3.512581152,3.237405252,3.539982963,2.559975202,0
"Bundle of Trouble (A Maternal Instincts Mystery, #1)",4.106672671,3.375328535,3.379700212,3.632011242,2.797405448,5
100 Nasty Women of History (Paperback),4.167991383,3.495423472,3.33074973,3.778189168,2.536498442,1
"The Best of Trek: From the Magazine for Star Trek Fans (Best of Trek, #1)",3.927181267,3.363341855,2.971504551,3.605010747,2.874538715,8
"Russia: The Wild East, Part One: From Rulers to Revolutions (Audio CD)",4.120867382,3.510468751,3.255677891,3.590565693,2.429319207,2
The Bells of Basel,4.255414891,3.657811108,3.485533182,3.604460508,2.313399672,24
"The Captive Heart (Heart, #3)",4.130320909,3.490968346,3.271374896,3.611351487,2.674885665,13
Ghosts: The Complete Guide to the Supernatural (Hardcover),4.145263307,3.440659924,3.163969768,3.645574119,2.760445646,6
The Raven &amp; the Wolf: Chronicle I - Blood Oath (Paperback),4.283275628,3.533072282,3.323884495,3.506161739,2.515518188,2
"The Prow Beast (Oathsworn, #4)",4.163557652,3.405682849,3.269607026,3.579949039,2.625764145,9
"The White Raven (Oathsworn, #3)",4.198627597,3.398371734,3.332414044,3.591239516,2.603153723,15
The History of the Kings of Britain (Paperback),4.206644941,3.436109111,3.292656981,3.565604933,2.562762535,15
"Origin (Robert Langdon, #5)",4.176827751,3.405632111,3.374292724,3.65653751,2.627349311,22
"Inferno (Robert Langdon, #4)",4.185434024,3.327000158,3.320870579,3.627059527,2.692986172,29
"The Lost Symbol (Robert Langdon, #3)",4.166262467,3.400916281,3.286872309,3.572851236,2.715481555,6
"Angels &amp; Demons (Robert Langdon, #1)",4.198007858,3.413009552,3.289880822,3.65989377,2.662441672,13
"Sword Song (The Saxon Stories, #4)",4.249207392,3.479182694,3.413229336,3.590437143,2.538864102,2
"The Pale Horseman (The Saxon Stories, #2)",4.194784087,3.464587295,3.383136931,3.610985418,2.579505339,7
"Lords of the North (The Saxon Stories, #3)",4.211346668,3.435592376,3.353037116,3.581995936,2.596058228,22
Fortress of the Golden Dragon: A Persian Tale Inspired by the Shah-Nameh (Paperback),4.34057857,3.53789113,3.249681262,3.593060247,2.382709345,28
Meetings with Remarkable Manuscripts (Hardcover),4.201388388,3.514879746,3.367255838,3.681419236,2.623623264,23
The Sea Wolves: A History of the Vikings (Kindle Edition),4.157130249,3.472491425,3.26089107,3.468553273,2.673115966,3
The Further Adventures of Wonder Woman (Mass Market Paperback),4.140117856,3.696074995,3.452055042,3.828526058,2.636348458,23
The Prophetic Queen: The Tumultuous Life of Matilde of Ringelheim (Kindle Edition),4.280043851,3.541940681,3.405405717,3.656030561,2.49473656,28
"Wars of the Irish Kings: A Thousand Years of Struggle, from the Age of Myth through the Reign of Queen Elizabeth I (Paperback)",4.154828911,3.456946222,3.404447382,3.610023513,2.653597159,23
Seven Noble Knights (Paperback),4.219148924,3.399496949,3.363405069,3.504701057,2.601646692,15
Shadow on the Crown (The Emma of Normandy Trilogy #1),4.192446088,3.447449413,3.314595746,3.549575737,2.553540483,15
I Am the Chosen King (Saxon #1),4.217941272,3.458640661,3.379538378,3.623855428,2.519177518,2
The Forever Queen (Saxon #2),4.22279354,3.445699841,3.274029169,3.65504981,2.599736801,26
Queen Hereafter: A Novel of Margaret of Scotland (Hardcover),4.231924465,3.493358804,3.328534616,3.668067358,2.618449642,26
"The Bastard King (Norman Trilogy, #1)",4.200599866,3.448184266,3.34308648,3.669185452,2.605148645,1
The Song of Roland (Paperback),4.210492725,3.52381173,3.240357946,3.552793026,2.44381847,0
"Queen of the Conqueror: The Life of Matilda, Wife of William I (Hardcover)",4.1956447,3.479500314,3.310013918,3.663855195,2.59215883,7
King Hereafter (Paperback),4.248218399,3.399357464,3.324558052,3.567672271,2.562618846,15
The Winter Mantle (Paperback),4.166777099,3.483237979,3.347655171,3.543161491,2.575476237,7
"The Price of Blood (The Emma of Normandy Trilogy, #2)",4.203453981,3.423066114,3.357106428,3.570023765,2.571619895,22
Ø±Ø¨Ø§Ø¹ÙŠØ§Øª Ø®ÙŠØ§Ù… (Hardcover),4.313899789,3.591732721,3.319444843,3.665379561,2.480880383,28
"The Handfasted Wife (Daughters of Hastings, #1)",4.181834741,3.51201562,3.381064669,3.553686113,2.497398462,2
"The Physician (Cole Family Trilogy, #1)",4.199728761,3.584048814,3.34461603,3.623797527,2.546732817,16
"The Lion of Justice (Norman Trilogy, #2)",4.198156496,3.430282077,3.224767344,3.596330544,2.598828835,0
The Tale of Murasaki (Paperback),4.206586338,3.511826916,3.404288319,3.552752427,2.565678377,2
"Gildenford (Norman Quartet, #1)",4.172007776,3.46316156,3.329522761,3.576601502,2.574027669,15
The Chosen Queen (Queens of Conquest #1),4.217954854,3.508775095,3.328052096,3.605966829,2.546356281,16
The King's Hounds (The King's Hounds #1),4.221171344,3.379491459,3.302714584,3.448239374,2.553749655,9
"Sworn Sword (The Bloody Aftermath of 1066, #1)",4.260512247,3.490294845,3.416610495,3.541484166,2.500977175,2
Honor's Splendour (Mass Market Paperback),4.160918521,3.481879414,3.408508219,3.624807547,2.676590355,23
The Needle in the Blood (Paperback),4.224236719,3.412311212,3.309380826,3.596578835,2.620073482,26
The Wolf and the Dove (Paperback),4.17030867,3.459749004,3.355170983,3.614783918,2.647661556,23
As I Crossed a Bridge of Dreams: Recollections of a Woman in Eleventh-Century Japan (Paperback),4.221299211,3.568566096,3.411311825,3.610090968,2.509693158,2
The Last English King (Hardcover),4.204798457,3.417350962,3.253275745,3.584812007,2.565864715,0
"The Wolves of Savernake (Domesday, #1)",4.170986949,3.442637408,3.303598377,3.585117721,2.630275507,9
"Hood (King Raven, #1)",4.205465751,3.390641429,3.216343822,3.483580508,2.65693743,9
The Conqueror's Queen (Queens of Conquest #3),4.21337952,3.432912569,3.316368302,3.665568312,2.627320013,26
The Harrowing (Hardcover),4.232046317,3.488735893,3.341639543,3.555492102,2.555512535,7
The Constant Queen (Queens of Conquest #2),4.168233023,3.463979406,3.334571049,3.580841791,2.606601304,7
The Wake (Hardcover),4.26753584,3.45082829,3.300753125,3.605467601,2.50650616,2
Vis and Ramin (Hardcover),4.187508211,3.550980689,3.297145761,3.645273739,2.526039725,3
"Odinn's Child (Viking, #1)",4.200516152,3.444871993,3.283183436,3.52078287,2.610216187,9
The Conqueror (Paperback),4.194842678,3.511305259,3.354877859,3.635845502,2.520401529,16
"Scarlet (King Raven, #2)",4.213102103,3.471066848,3.243171181,3.534528675,2.618204331,18
1066: The Year of the Conquest (Paperback),4.180290606,3.487528603,3.355972683,3.625315152,2.504524481,2
Madselin (Hardcover),4.228435565,3.553539608,3.342663566,3.565327665,2.565387624,3
Samarkand (Paperback),4.197061765,3.492136654,3.302818994,3.593541587,2.577410742,26
The Norman Conquest (Hardcover),4.146802602,3.446792686,3.300781297,3.568258409,2.544710528,15
The Forest (Paperback),4.163833308,3.502922828,3.321660606,3.615691894,2.612626236,0
"The Swan-Daughter (Daughters of Hastings, #2)",4.14696983,3.454049046,3.328760545,3.540903345,2.559009962,15
Ø§Ù„Ù‚Ø§Ù†ÙˆÙ† Ù�ÙŠ Ø§Ù„Ø·Ø¨ (Paperback),4.193569065,3.341807612,3.366750993,3.621099515,2.545726281,22
"The Disputed Crown (Norman Quartet, #3)",4.264261203,3.358519542,3.445807986,3.653103956,2.560833842,1
"The Norman Pretender (Norman Quartet, #2)",4.117720828,3.421425135,3.31804384,3.538732643,2.620157205,15
The Jester (Paperback),4.184321573,3.446243407,3.345046505,3.566583545,2.589114354,15
"The Hell Screen (Sugawara Akitada, #5)",4.137539637,3.357778266,3.310453305,3.54673518,2.68673295,29
The Wind from Hastings (Hardcover),4.190953733,3.47860265,3.274644463,3.638243416,2.561759614,10
"The Conquering Family (The Plantagenets, #1)",4.164256717,3.453405758,3.36130656,3.607674167,2.516136507,7
"The Mosaic of Shadows (Demetrios Askiates, #1)",4.195316402,3.465189359,3.339718836,3.614358404,2.603227438,7
"Queen Emma: A History of Power, Love, and Greed in 11th-Century England (Paperback)",4.196917324,3.476467991,3.306419176,3.569053188,2.579916598,7
The Izumi Shikibu Diary: A Romance of the Heian Court (Hardcover),4.006077955,3.490116885,3.408992799,3.560668069,2.483486683,21
The Comet Seekers (Hardcover),4.267076478,3.515182585,3.361981612,3.677606428,2.556369768,16
"Just One Damned Thing After Another (The Chronicles of St Mary's, #1)",4.192230563,3.429890311,3.371717512,3.564736612,2.486662694,15
Daughter of a Thousand Years (Kindle Edition),4.199486588,3.543291061,3.424793045,3.664372502,2.512632755,14
"The Flame of Resistance (The Lost King, #1)",4.192940702,3.439092669,3.417187827,3.64369511,2.513154475,2
Tales from the Kathasaritsagara (Paperback),4.227151788,3.564633839,3.19133357,3.569737828,2.529721518,3
Silk Road (Hardcover),4.192782081,3.499590373,3.347099534,3.573257824,2.498093659,2
The Battle of Maldon (Paperback),4.389437188,3.649899983,3.363579818,3.590015678,2.426113317,24
Alamut (Hardcover),4.264235107,3.514068091,3.355575051,3.619683494,2.542214565,2
The Wild Hunt (Ravenstow Trilogy #1),4.176522471,3.474222978,3.319835075,3.569335383,2.639137056,7
1066 Turned Upside Down (Kindle Edition),4.200150881,3.554497521,3.280104139,3.535100379,2.522635419,4
"Lady Of Fire (Fire, #1)",4.198906029,3.468431511,3.378458295,3.629480709,2.575963601,7
Diaries of Court Ladies of Old Japan (Paperback),4.153797258,3.443280224,3.438667933,3.634897425,2.50902127,7
Shieldwall (Paperback),4.214775904,3.458091184,3.310826761,3.525234288,2.557270728,15
A Land Divided (The Blood of Kings #1),4.164525135,3.410197348,3.241671017,3.542413295,2.609670412,9
A Concise History of the Crusades (Hardcover),4.173580537,3.419040917,3.236002061,3.58831588,2.613395047,9
Queens Consort: England's Medieval Queens (Hardcover),4.198290184,3.509436019,3.296561607,3.608588213,2.556695471,3
"Captivated by You (Crossfire, #4)",4.106561623,3.334363901,3.453024616,3.713658821,2.751972183,17
Joheved (Rashiâ€™s Daughters #1),4.174146692,3.538811619,3.392293552,3.642438609,2.565977542,16
"The Story of the Jews: Finding the Words, 1000 BCE â€“ 1492 CE (Hardcover)",4.216154936,3.577231442,3.284012528,3.547654006,2.478932564,4
1066: What Fates Impose (Paperback),4.185295289,3.449459443,3.409606375,3.566092433,2.455669928,2
"Rashomon Gate (Sugawara Akitada, #2)",4.12842724,3.394960517,3.172486764,3.566677086,2.662247182,9
"The Dragon Scroll (Sugawara Akitada, #1)",4.149612127,3.418639454,3.259773966,3.54758267,2.661843356,9
"Goddess of the Sea (Goddess Summoning, #1)",4.174903537,3.435134941,3.387352718,3.713126244,2.623868145,23
"The Sacred Stone (The Medieval Murderers, #6)",4.215640401,3.454238824,3.132636066,3.538225208,2.639350878,18
"King of the Wood (Norman Quartet, #4)",4.230774078,3.35705403,3.228456109,3.581425566,2.503065068,22
"King's Man (Viking, #3)",4.219840521,3.423471728,3.317630898,3.546315515,2.550059103,15
"Sworn Brother (Viking, #2)",4.165239501,3.362559505,3.239069556,3.582994319,2.641363478,9
Queen Emma and Queen Edith: Queenship and Women's Power in Eleventh-century England (Paperback),4.174755572,3.408508625,3.282231166,3.705600454,2.631641886,13
"Hereward (Hereward, #1)",4.232548785,3.409071536,3.307665427,3.580216884,2.587794519,15
"The Splintered Kingdom (The Bloody Aftermath of 1066, #2)",4.250081886,3.519754065,3.475343341,3.548319288,2.468314371,14
Sons of the Wolf (Sons Of The Wolf #1),4.26761113,3.511401829,3.417068467,3.616166031,2.495298224,28
"Out of the Dawn Light (Aelf Fen, #1)",4.20824656,3.494608773,3.273640874,3.560865896,2.633946747,3
"Lord of Seduction (The Risande Family, #3)",4.165972624,3.432138075,3.250756517,3.617516638,2.642739853,25
"Lord of Temptation (The Risande Family, #2)",4.217190957,3.459353911,3.39596124,3.649212864,2.64191637,23
Rohan (Blood Sword Legacy Book 1),4.164951619,3.433385322,3.310853973,3.579056376,2.650809709,9
"The Ravens of Blackwater (Domesday, #2)",4.173044115,3.397417439,3.295101991,3.513777326,2.678314342,9
"Unicorn and Dragon (Unicorn and Dragon, #1)",4.152414896,3.487130034,3.331302223,3.598944825,2.632702647,7
A Connecticut Yankee in King Arthur's Court (Paperback),4.142795767,3.465255119,3.189254883,3.51060034,2.62438216,18
The Queen's Pawn (Paperback),4.226655155,3.467049062,3.224315503,3.565440819,2.620363832,0
The Bought Bride (Paperback),4.246379773,3.616452462,3.393812697,3.647291544,2.506569439,16
"The Iron Lance (The Celtic Crusades, #1)",4.187989794,3.430181201,3.235458335,3.589972787,2.635804302,0
"Knights of the Cross (Demetrios Askiates, #2)",4.173077782,3.394440151,3.257297934,3.536667351,2.688507963,9
"The Templar (Templars, #1)",4.122293892,3.371518616,3.320433774,3.518485903,2.673390076,9
Sarum: The Novel of England (Paperback),4.184762621,3.509645119,3.348629291,3.609872584,2.575507945,7
"A History of the Crusades, Vol. I: The First Crusade and the Foundations of the Kingdom of Jerusalem (Paperback)",4.227897506,3.517668681,3.355028015,3.591440406,2.494897985,2
Monologion,4.176081022,3.550512208,3.314833497,3.519305191,2.666113806,3
Ø­ÙŠ Ø¨Ù† ÙŠÙ‚Ø¸Ø§Ù† (Paperback),4.267190166,3.539449318,3.344728892,3.638513839,2.54565874,16
Proslogion (Paperback),4.227459356,3.609074612,3.341305112,3.656515113,2.527275442,16
