ID,Title,OPN,CON,EXT,AGR,NEU,Clusters,,,,,
4878,The Dreaded Comparison: Human and Animal Slavery (Paperback),4.137387368,3.449376683,3.246882218,3.572433739,2.644723689, ,,,,,
4879,Do It Anyway: The New Generation of Activists (Paperback),4.21677658,3.486894953,3.368130156,3.677623725,2.537114761, ,,,,,
4880,"I've Got the Light of Freedom: The Organizing Tradition and the Mississippi Freedom Struggle, With a New Preface (Paperback)",4.122648908,3.592205277,3.28744615,3.477266653,2.53043786, ,,,,,
4881,"Sister Species: Women, Animals and Social Justice (Paperback)",4.136421157,3.484047296,3.220458488,3.654928656,2.677181261, ,,,,,
4882,"Craft Activism: People, Ideas, and Projects from the New Community of Handmade and How You Can Join in (Paperback)",4.131465381,3.509301856,3.354689425,3.718102641,2.611910064, ,,,,,
4883,Girls to the Front: The True Story of the Riot Grrrl Revolution (Paperback),4.16905475,3.486359653,3.310637632,3.597448292,2.58526973, ,,,,,
4884,Zebrafish (Hardcover),4.209505444,3.483419918,3.344979456,3.635924479,2.605676786, ,,,,,
4885,We Make the Road by Walking: Conversations on Education and Social Change (Paperback),4.181093547,3.591623115,3.422848709,3.590565739,2.501662632, ,,,,,
4886,Media Control: The Spectacular Achievements of Propaganda (Paperback),4.206410413,3.403706045,3.235519599,3.583938798,2.677819077, ,,,,,
4887,Bitchfest: Ten Years of Cultural Criticism from the Pages of Bitch Magazine (Paperback),4.150815384,3.534100816,3.280294113,3.744907372,2.679250918, ,,,,,
4888,Understanding Power: The Indispensable Chomsky (Paperback),4.19618749,3.493838511,3.338155063,3.519827761,2.488459956, ,,,,,
4889,The Face on Your Plate: The Truth About Food (Hardcover),4.135653573,3.431098122,3.296963481,3.62402785,2.584390174, ,,,,,
4890,"Wobblies and Zapatistas: Conversations on Anarchism, Marxism and Radical History (Paperback)",4.138288288,3.486909839,3.344362318,3.555338945,2.500467737, ,,,,,
4891,A Force More Powerful: A Century of Non-violent Conflict (Paperback),4.168300494,3.548819512,3.361285936,3.630115133,2.469943365, ,,,,,
4892,Nonviolent Communication: A Language of Life (Paperback),4.198619011,3.515145881,3.319810041,3.556983231,2.491580501, ,,,,,
4893,Parting the Waters: Martin Luther King and the Civil Rights Movement 1954-63 (Paperback),4.187571709,3.498148026,3.324443185,3.450187558,2.486603191, ,,,,,
4894,The Culture of Make Believe (Paperback),4.209192307,3.468719557,3.299195888,3.552397829,2.530767927, ,,,,,
4895,"Exile and Pride: Disability, Queerness, and Liberation (Paperback)",4.176014719,3.497428638,3.247069575,3.647333863,2.626623155, ,,,,,
4896,Heartbeat of Struggle: The Revolutionary Life of Yuri Kochiyama (Paperback),4.127710187,3.454550647,3.334606854,3.580497581,2.585890397, ,,,,,
4897,The Methods of Nonviolent Action (Paperback),4.228310053,3.616064224,3.249705219,3.623784472,2.351968635, ,,,,,
4898,Trans Liberation: Beyond Pink or Blue (Paperback),4.224974099,3.541069372,3.329346566,3.675350752,2.542722617, ,,,,,
4899,Undivided Rights: Women of Color Organizing for Reproductive Justice (Paperback),4.158664986,3.595937022,3.369148944,3.67745971,2.481794355, ,,,,,
4900,"For Tibet, with Love: A Beginner's Guide to Changing the World (Paperback)",4.190995485,3.442258713,3.320390902,3.648909188,2.628975661, ,,,,,
4901,Anything We Love Can Be Saved (Paperback),4.253248003,3.477970568,3.360444348,3.675922053,2.544478231, ,,,,,
4902,"Our History Is the Future: Standing Rock versus the Dakota Access Pipeline, and the Long Tradition of Indigenous Resistance (Hardcover)",4.146755609,3.53737728,3.36271854,3.55269228,2.513513144, ,,,,,
4903,Parkland: Birth of a Movement (Hardcover),4.181737151,3.556480609,3.270156467,3.559606888,2.573809577, ,,,,,
4904,The Undefeated (Hardcover),4.215840697,3.61262624,3.328023533,3.616513488,2.541752293, ,,,,,
4905,The Uninhabitable Earth: Life After Warming (Hardcover),4.183376444,3.532337396,3.403850746,3.511818612,2.49129654, ,,,,,
4906,"As Long as Grass Grows: The Indigenous Fight for Environmental Justice, from Colonization to Standing Rock (Hardcover)",4.187213399,3.495910634,3.296501775,3.650784787,2.565719091, ,,,,,
4907,Reclaiming Our Space: How Black Feminists Are Changing the World from the Tweets to the Streets (Paperback),4.098717576,3.509533873,3.313914325,3.621036456,2.556701212, ,,,,,
4908,I'm Afraid of Men (Hardcover),4.194699268,3.553872632,3.425413477,3.692483593,2.563648482, ,,,,,
4909,Not My Idea: A Book About Whiteness (Hardcover),4.149190348,3.457039904,3.282038634,3.663942261,2.678040745, ,,,,,
4910,Enough! 20 Protesters Who Changed America (Hardcover),4.210682103,3.499363756,3.365276552,3.652092243,2.525644901, ,,,,,
4911,Peaceful Fights for Equal Rights (ebook),4.215505807,3.499636553,3.258530754,3.625813278,2.644735851, ,,,,,
4912,The Radium Girls: The Dark Story of America's Shining Women (Hardcover),4.118376364,3.56115811,3.430983822,3.710231013,2.528783811, ,,,,,
4913,Gandhi: An autobiography (Paperback),4.237628809,3.537103773,3.423204952,3.641082689,2.430012775, ,,,,,
4914,Together We Rise: Behind the Scenes at the Protest Heard Around the World (ebook),4.18943661,3.537068836,3.373257623,3.675902993,2.468407468, ,,,,,
4915,How to be a Craftivist: The Art of Gentle Protest (Hardcover),4.25045903,3.461638637,3.337267343,3.637596134,2.607122996, ,,,,,
4916,In the Body of the World (Hardcover),4.284989147,3.500182786,3.348358822,3.709504029,2.554551598, ,,,,,
4917,"The Will to Change: Men, Masculinity, and Love (Paperback)",4.056500033,3.657266969,3.536336827,3.617090818,2.429181616, ,,,,,
4918,I Am Alfonso Jones (Paperback),4.220202722,3.600383647,3.398857626,3.61735449,2.535180884, ,,,,,
4919,Betty Before X (Hardcover),4.121168867,3.568433733,3.370488554,3.589633541,2.628963034, ,,,,,
4920,You're More Powerful than You Think: A Citizenâ€™s Guide to Making Change Happen (Hardcover),4.158129803,3.509033179,3.258322077,3.491689203,2.52285174, ,,,,,
4921,#Notyourprincess: Voices of Native American Women (Paperback),4.202487623,3.576616791,3.357648626,3.712510554,2.625617426, ,,,,,
4922,Letters to a Prisoner (Hardcover),4.206382523,3.510040552,3.293076339,3.7309163,2.599396577, ,,,,,
4923,As We Have Always Done: Indigenous Freedom through Radical Resistance (Hardcover),4.226394786,3.464158418,3.293141579,3.634227338,2.61986175, ,,,,,
4924,"An Inconvenient Sequel: Truth to Power: Your Action Handbook to Learn the Science, Find Your Voice, and Help Solve the Climate Crisis (Kindle Edition)",4.169042311,3.534829437,3.333436666,3.588309896,2.544054843, ,,,,,
4925,Maybe Something Beautiful: How Art Transformed a Neighborhood (Hardcover),4.279447577,3.600773776,3.291360488,3.620848802,2.620397996, ,,,,,
4926,Moving Politics: Emotion and ACT UP's Fight against AIDS (Paperback),4.162116648,3.635894219,3.270221893,3.47511795,2.497713388, ,,,,,
4927,Don't Even Think About It: Why Our Brains Are Wired to Ignore Climate Change (Hardcover),4.155512677,3.495031863,3.330407481,3.537342089,2.508962589, ,,,,,
4928,"She Stood for Freedom: The Untold Story of a Civil Rights Hero, Joan Trumpauer Mulholland (Hardcover Picture Book)",4.155057511,3.557641963,3.31487587,3.485275637,2.56001379, ,,,,,
4929,"Radical Dharma: Talking Race, Love, and Liberation (Paperback)",4.188686932,3.456273783,3.32972925,3.748284888,2.592180281, ,,,,,
4930,Engines of Liberty: The Power of Citizen Activists to Make Constitutional Law (Hardcover),4.119409802,3.499103332,3.292404122,3.579373528,2.597657539, ,,,,,
4931,Islamophobia and the Politics of Empire (Paperback),4.165917045,3.451423024,3.289082979,3.598015985,2.551724348, ,,,,,
4932,Most Dangerous: Daniel Ellsberg and the Secret History of the Vietnam War (Hardcover),4.074532251,3.588884033,3.334610126,3.555889026,2.57424528, ,,,,,
4933,Walden &amp; Civil Disobedience (Paperback),4.273129235,3.537203517,3.457141236,3.629676821,2.491918651, ,,,,,
4934,On Intersectionality: The Essential Writings of KimberlÃ© Crenshaw (Paperback),4.12245541,3.369749478,3.32604477,3.722437944,2.68778016, ,,,,,
4935,Inventing the Future: Postcapitalism and a World Without Work (Paperback),4.16526063,3.476308455,3.414273475,3.529257146,2.365789595, ,,,,,
4936,"Days of Destruction, Days of Revolt (Hardcover)",4.180085861,3.533707699,3.379605574,3.582064234,2.52768907, ,,,,,
4937,Playing the Whore: The Work of Sex Work (Paperback),4.091061778,3.542220474,3.41376224,3.608010696,2.462912122, ,,,,,
4938,Field Notes on Democracy: Listening to Grasshoppers,4.18630569,3.510640466,3.250674157,3.639246751,2.474852379, ,,,,,
4939,In Real Life (Paperback),4.210465893,3.480347038,3.356296635,3.622565618,2.520680883, ,,,,,
4940,Hunger Makes Me a Modern Girl (Hardcover),4.259155789,3.460579433,3.445189805,3.711225856,2.553593607, ,,,,,
4941,Give Us the Ballot: The Modern Struggle for Voting Rights in America (Hardcover),4.172802285,3.422722905,3.323848477,3.536611064,2.556625439, ,,,,,
4942,Luna and Me: The Story of Julia Butterfly Hill (Hardcover),4.193424817,3.642350553,3.22182902,3.573396619,2.673604915, ,,,,,
4943,A Fighting Chance (Hardcover),4.052057037,3.459688916,3.482045465,3.590197946,2.604960908, ,,,,,
4944,Coretta Scott (Hardcover),4.183270544,3.516017601,3.371656137,3.492914617,2.64294179, ,,,,,
4945,Comradely Greetings: The Prison Letters of Nadya and Slavoj (Paperback),4.209845447,3.523708841,3.395883913,3.615704399,2.510160607, ,,,,,
4946,The Silence of Our Friends (Paperback),4.192220736,3.553814484,3.315108262,3.524308283,2.570269692, ,,,,,
4947,The Revolution of Everyday Life (Paperback),4.225576575,3.448304685,3.317269083,3.553874665,2.537981126, ,,,,,
4948,A Long Walk to Water: Based on a True Story (Hardcover),4.205187222,3.548647301,3.338164374,3.635404782,2.551420107, ,,,,,
4949,"The Coming Swarm: DDOS Actions, Hacktivism, and Civil Disobedience on the Internet (Paperback)",4.202247687,3.488793335,3.372699546,3.575110884,2.554084391, ,,,,,
4950,Empty Cages: Facing the Challenge of Animal Rights (Paperback),4.161021698,3.464066946,3.343398213,3.560044766,2.677153635, ,,,,,
4951,Thanking the Monkey: Rethinking the Way We Treat Animals (Paperback),4.134839566,3.442446949,3.309645315,3.613038641,2.656222338, ,,,,,
4952,There Is Power in a Union: The Epic Story of Labor in America (Hardcover),4.15827519,3.58648841,3.452952457,3.563079364,2.471928564, ,,,,,
4953,Eating Fire: My Life as a Lesbian Avenger (Paperback),4.18475742,3.551928418,3.336014422,3.600460691,2.533952197, ,,,,,
4954,All About Love: New Visions (Hardcover),4.207808417,3.515854657,3.500985411,3.744332744,2.534349495, ,,,,,
4955,Captive Genders: Trans Embodiment and the Prison Industrial Complex (Paperback),4.170716921,3.454468183,3.312637909,3.637657999,2.596961024, ,,,,,
4956,Rain Without Thunder: The Ideology of the Animal Rights Movement (Paperback),4.149533127,3.520974717,3.272902958,3.610345772,2.588047297, ,,,,,
4957,"This Machine Kills Secrets: How WikiLeakers, Cypherpunks, and Hacktivists Aim to Free the World's Information (Hardcover)",4.141702547,3.45258165,3.307796369,3.611689278,2.671133337, ,,,,,
4958,How to Change the World (Paperback),4.210460651,3.483870753,3.400254918,3.599636905,2.560236098, ,,,,,
4959,The Mayor of Castro Street: The Life and Times of Harvey Milk (Paperback),4.186582342,3.516408809,3.297762126,3.609792316,2.51694231, ,,,,,
4960,"We Are Anonymous: Inside the Hacker World of LulzSec, Anonymous, and the Global Cyber Insurgency (Hardcover)",4.156213699,3.399554416,3.347152592,3.631739499,2.639072279, ,,,,,
4961,"Defiant Daughters: 21 Women on Art, Activism, Animals, and the Sexual Politics of Meat (Paperback)",4.15096389,3.544715269,3.240872772,3.662691576,2.564317201, ,,,,,
4962,Where Do We Go from Here:  Chaos or Community? (Paperback),4.204235536,3.492174704,3.315905394,3.491156092,2.380734418, ,,,,,
4963,Colonize This!: Young Women of Color on Today's Feminism (Paperback),4.119153741,3.545996848,3.355404779,3.675820937,2.544099528, ,,,,,
4964,The Gentrification of the Mind: Witness to a Lost Imagination (Hardcover),4.182560013,3.546588595,3.317420712,3.639605229,2.610864118, ,,,,,
4965,"Creative Community Organizing: A Guide for Rabble-Rousers, Activists, and Quiet Lovers of Justice (Paperback)",4.181089708,3.51543339,3.295271613,3.559976044,2.629639727, ,,,,,
4966,Outrageous Acts and Everyday Rebellions (Paperback),4.105890846,3.513479721,3.336743607,3.64724174,2.561550762, ,,,,,
4967,Nonviolence: Twenty-Five Lessons from the History of a Dangerous Idea (Hardcover),4.161968918,3.555617935,3.326700262,3.581961377,2.497539445, ,,,,,
4968,No Turning Back: The History of Feminism and the Future of Women (Paperback),4.104474598,3.51489779,3.463512774,3.693871318,2.486340907, ,,,,,
4969,The One-Hour Activist: The 15 Most Powerful Actions You Can Take to Fight for the Issues and Candidates You Care about (Paperback),4.09839538,3.357977401,3.095105864,3.517369278,2.715362958, ,,,,,
4970,"Mighty Be Our Powers: How Sisterhood, Prayer, and Sex Changed a Nation at War (Paperback)",4.237334891,3.66327438,3.477793305,3.668728273,2.407512641, ,,,,,
4971,On Revolution (Paperback),4.115624886,3.462528171,3.308960055,3.416303811,2.50896107, ,,,,,
4972,The Empowerment Manual: A Guide for Collaborative Groups (Paperback),4.205715271,3.556951158,3.420332831,3.681892698,2.582055773, ,,,,,
4973,Eaarth: Making a Life on a Tough New Planet (Hardcover),4.123349715,3.428935953,3.368984791,3.527668112,2.547092294, ,,,,,
4974,Sit-In: How Four Friends Stood Up by Sitting Down (Hardcover),4.09757208,3.552924184,3.361114368,3.578899374,2.603343162, ,,,,,
4975,Hands on the Freedom Plow: Personal Accounts by Women in SNCC (Hardcover),4.144141357,3.634697395,3.340821547,3.673151054,2.51716867, ,,,,,
4976,The Hope: A Guide to Sacred Activism (Paperback),4.260898562,3.546770622,3.331081572,3.600073946,2.464984655, ,,,,,
4977,Recovering the Sacred: The Power of Naming and Claiming (Paperback),4.139764319,3.453775907,3.304571043,3.529120438,2.521827453, ,,,,,
4978,"Re:Imagining Change: How to Use Story-based Strategy to Win Campaigns, Build Movements, and Change the World (Paperback)",4.117482161,3.499369935,3.249988186,3.48719739,2.640996673, ,,,,,
4979,Ishmael (Kindle Edition),4.225950019,3.446240449,3.323847526,3.60816379,2.635003671, ,,,,,
4980,A Language Older Than Words (Paperback),4.210066532,3.485163948,3.365553594,3.579522554,2.597363796, ,,,,,
4981,A Paradise Built in Hell: The Extraordinary Communities That Arise in Disaster (Hardcover),4.189361205,3.465432596,3.307262271,3.592076662,2.473039816, ,,,,,
4982,Long Walk to Freedom (Paperback),4.281003581,3.530425747,3.444409448,3.555886451,2.405960122, ,,,,,
4983,Detroit: I Do Mind Dying: A Study in Urban Revolution (Paperback),4.108797719,3.481838999,3.319516651,3.617625473,2.631581558, ,,,,,
4984,As the World Burns: 50 Simple Things You Can Do to Stay in Denial (Paperback),4.152133379,3.376801088,3.294270432,3.555540718,2.55761307, ,,,,,
4985,Race Matters (Paperback),4.053085046,3.481569008,3.26947279,3.527500787,2.494978484, ,,,,,
4986,Anarchism and Other Essays (Paperback),4.179123682,3.542935579,3.395603809,3.524635173,2.497413478, ,,,,,
4987,"Animal, Vegetable, Miracle: A Year of Food Life (Kindle Edition)",4.148911822,3.368880841,3.485882849,3.715213341,2.556682032, ,,,,,
4988,"Gender Outlaw: On Men, Women and the Rest of Us (Paperback)",4.192348783,3.534847514,3.326704238,3.68660334,2.536419317, ,,,,,
4989,Hegemony or Survival: America's Quest for Global Dominance (Paperback),4.163361383,3.468920449,3.312246724,3.517927569,2.53685783, ,,,,,
4990,Why We Can't Wait (Paperback),4.242935752,3.447471991,3.290368189,3.544060395,2.441111715, ,,,,,
4991,"An Unreasonable Woman: A True Story of Shrimpers, Politicos, Polluters, and the Fight for Seadrift, Texas (Paperback)",4.189627207,3.545840764,3.336035149,3.683138688,2.612614571, ,,,,,
4992,Fight Like a Girl: How to Be a Fearless Feminist (Hardcover),4.114629233,3.500701718,3.356101765,3.607815467,2.633564121, ,,,,,
4993,Wall and Piece (Paperback),4.282896859,3.448683229,3.278176347,3.647001511,2.501207647, ,,,,,
4994,In Defense of Animals: The Second Wave (Paperback),4.18386856,3.50923265,3.273827692,3.594603612,2.649853058, ,,,,,
4995,Full Frontal Feminism (Paperback),4.101557716,3.499890731,3.356629927,3.671844861,2.625361732, ,,,,,
4996,The Revolution Will Not Be Microwaved: Inside America's Underground Food Movements (Paperback),4.137153584,3.378313727,3.415814515,3.672467456,2.590632247, ,,,,,
4997,Custer Died for Your Sins: An Indian Manifesto (Paperback),4.107756914,3.496963722,3.361741043,3.546886964,2.552998906, ,,,,,
4998,Ella Enchanted (Ella Enchanted #1),4.105845617,3.415367887,3.348546548,3.67120223,2.640390483, ,,,,,
4999,Vinegar Girl (Hardcover),4.177458985,3.406487705,3.389062651,3.673620884,2.569236443, ,,,,,
5000,The DUFF: Designated Ugly Fat Friend (Hardcover),4.027959883,3.425643128,3.485858069,3.748094415,2.679025339, ,,,,,
5001,"The 100 (The 100, #1)",4.112605395,3.347257105,3.344661568,3.597669098,2.759747412, ,,,,,
5002,"Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)",4.152816039,3.362813177,3.361573997,3.606536974,2.597872016, ,,,,,
5003,"Eligible (The Austen Project, #4)",4.101169498,3.495302933,3.390293584,3.575880379,2.582368836, ,,,,,
5004,Before I Fall (Paperback),4.164215488,3.405993485,3.453196176,3.713118977,2.577052516, ,,,,,
5005,Cruel Beauty (Hardcover),4.254141662,3.44199384,3.307015427,3.652023654,2.609784492, ,,,,,
5006,"Fallen (Fallen, #1)",4.115487099,3.393431172,3.483005029,3.602110689,2.683007757, ,,,,,
5007,"Pretty Little Liars (Pretty Little Liars, #1)",4.116271446,3.425884399,3.354775732,3.677842972,2.716702307, ,,,,,
5008,"Austenland (Austenland, #1)",4.082777552,3.483117009,3.452772245,3.614416828,2.667427204, ,,,,,
5009,"Annihilation (Southern Reach, #1)",4.199044932,3.47732468,3.381035674,3.546239649,2.637963304, ,,,,,
5010,"The Wicked Will Rise (Dorothy Must Die, #2)",4.142711124,3.368361975,3.29696204,3.659492262,2.721051898, ,,,,,
5011,Jane Steele (Paperback),4.175768496,3.555132782,3.363444371,3.538823237,2.633924458, ,,,,,
5012,"Fairest (The Lunar Chronicles, #3.5)",4.189761773,3.355998865,3.335910924,3.683749119,2.663549578, ,,,,,
5013,"Unbroken: A World War II Story of Survival, Resilience and Redemption (Hardcover)",4.193659203,3.558230985,3.355707846,3.545125498,2.535912565, ,,,,,
5014,Do Androids Dream of Electric Sheep? (Kindle Edition),4.206610583,3.463501855,3.369897718,3.602961875,2.518093571, ,,,,,
5015,"The Madmanâ€™s Daughter (The Madmanâ€™s Daughter, #1)",4.1672594,3.412533137,3.377317224,3.611037165,2.610930517, ,,,,,
5016,Fairest (Hardcover),4.21115558,3.417448604,3.334629299,3.704738043,2.653923521, ,,,,,
5017,Schindler's List (Paperback),4.143937394,3.491157975,3.390416036,3.647846409,2.581651899, ,,,,,
5018,A Beautiful Mind (Paperback),4.144379132,3.545960863,3.43565364,3.715671797,2.546047291, ,,,,,
5019,"Red Sparrow (Red Sparrow Trilogy, #1)",4.155871367,3.470499219,3.342700498,3.652261454,2.51998103, ,,,,,
5020,"Yellow Brick War (Dorothy Must Die, #3)",4.14792987,3.425763164,3.379245722,3.652198944,2.687457027, ,,,,,
5021,Snow White: A Graphic Novel (Hardcover),4.262405742,3.422203422,3.380405797,3.596032685,2.612630785, ,,,,,
5022,Le bleu est une couleur chaude (Paperback),4.222234185,3.512650518,3.331351556,3.659882204,2.608096988, ,,,,,
5023,"The Wrath and the Dawn (The Wrath and the Dawn, #1)",4.210127335,3.444903494,3.344086911,3.647008965,2.718819672, ,,,,,
5024,Psycho (Psycho #1),4.080115493,3.422617467,3.350598866,3.673006421,2.716153719, ,,,,,
5025,"Love, Rosie (Paperback)",4.131578694,3.479162669,3.418430544,3.718296426,2.701343122, ,,,,,
5026,"Dorothy Must Die (Dorothy Must Die, #1)",4.145127652,3.384146451,3.365997159,3.592360288,2.617206624, ,,,,,
5027,Jane (Hardcover),4.259660227,3.558598832,3.256304963,3.557846217,2.641071524, ,,,,,
5028,"Bridget Jones: The Edge of Reason (Bridget Jones, #2)",4.18148659,3.407168852,3.424111191,3.637691289,2.684793939, ,,,,,
5029,The Red Tent (Hardcover),4.201955931,3.573387175,3.443677021,3.633659146,2.524285245, ,,,,,
5030,Requiem for a Dream (Trade Paperback),4.209679232,3.510422861,3.462378587,3.684885279,2.541982068, ,,,,,
5031,The Prestige (Paperback),4.217955811,3.471971359,3.378709087,3.584230753,2.540366273, ,,,,,
5032,Between Shades of Gray (Hardcover),4.227007595,3.528681716,3.341064026,3.67216448,2.560318727, ,,,,,
5033,"Death Note, Vol. 1: Boredom (Death Note, #1)",4.21357911,3.459878326,3.299829838,3.60682326,2.549809601, ,,,,,
5034,White Oleander (Paperback),4.214669184,3.532461111,3.383914871,3.653114959,2.661517558, ,,,,,
5035,"Warm Bodies (Warm Bodies, #1)",4.291625788,3.393013237,3.502045098,3.654567903,2.54191248, ,,,,,
5036,"Alice (The Chronicles of Alice, #1)",4.320985838,3.448132939,3.426480802,3.618037579,2.567576013, ,,,,,
5037,The Revenant (Hardcover),4.149271985,3.495704749,3.310471212,3.66262908,2.636573203, ,,,,,
5038,Great (Hardcover),4.121440535,3.419880943,3.413673018,3.683041858,2.611056106, ,,,,,
5039,Dear John (Hardcover),4.162823081,3.475739323,3.526593577,3.845497026,2.505775909, ,,,,,
5040,Ash (Hardcover),4.263152904,3.387754568,3.346006952,3.818872236,2.776530435, ,,,,,
5041,A Thousand Acres (Paperback),4.166610163,3.459909251,3.440415109,3.579735116,2.566451679, ,,,,,
5042,A Kiss in Time (Hardcover),4.168989622,3.446432726,3.396842578,3.68729515,2.642555422, ,,,,,
5043,Briar Rose (Hardcover),4.219156037,3.524866992,3.386512671,3.645627656,2.611009034, ,,,,,
5044,The Handmaid's Tale: The Graphic Novel (Hardcover),4.224364002,3.472018458,3.274136938,3.620165811,2.616372272, ,,,,,
5045,"Meg, Jo, Beth, and Amy: A Graphic Novel: A Modern Retelling of Little Women (Hardcover)",4.230190081,3.423620404,3.370706107,3.6620859,2.587298051, ,,,,,
5046,Hidden Figures (Paperback),4.066790051,3.583861067,3.436775481,3.632145268,2.490803516, ,,,,,
5047,"Stars Above (The Lunar Chronicles, #0.5, 0.6, 1.5, 3.1, 4.5)",4.202075589,3.466754483,3.30655776,3.599911815,2.628528703, ,,,,,
5048,Galatea (Kindle Edition),4.217850791,3.58521888,3.399532829,3.577436538,2.599874683, ,,,,,
5049,Mystic River (Paperback),4.190494033,3.410813979,3.405712225,3.60834463,2.679903508, ,,,,,
5050,Wiseguy (Mass Market Paperback),4.122405273,3.449682824,3.260650562,3.667822729,2.688097993, ,,,,,
5051,Christine (Paperback),4.178790927,3.32361311,3.405709463,3.612384304,2.625582635, ,,,,,
5052,Twelve Years a Slave (ebook),4.219906496,3.558690058,3.371547914,3.539711707,2.590767228, ,,,,,
5053,Running with Scissors (Paperback),4.210553798,3.42378242,3.363582176,3.702064001,2.621706271, ,,,,,
5054,I Am Legend and Other Stories (Paperback),4.175249958,3.480250827,3.29711968,3.544088249,2.630389323, ,,,,,
5055,The Lost City of Z: A Tale of Deadly Obsession in the Amazon (Hardcover),4.194527076,3.443580575,3.381288956,3.606000857,2.587625324, ,,,,,
5056,Cutting for Stone (Hardcover),4.204375685,3.543754017,3.408264867,3.700571017,2.574472838, ,,,,,
5057,100 Bugs!: A Counting Book (Hardcover),4.112291425,3.578400004,3.223639348,3.579366459,2.831786993, ,,,,,
5058,Math Curse (Hardcover),4.123621964,3.572203539,3.077364736,3.489563353,2.754799741, ,,,,,
5059,Each Orange Had 8 Slices (Hardcover),4.192728027,3.529892434,3.188468794,3.627894563,2.67046197, ,,,,,
5060,Zero the Hero (Hardcover),4.19590552,3.410333629,3.203159483,3.54346957,2.657134037, ,,,,,
5061,Hershey's Kisses Addition Book (Paperback),4.133437287,3.505751758,3.263520693,3.67601822,2.714193645, ,,,,,
5062,Grapes Of Math  (Paperback),4.138001858,3.582593135,3.146491167,3.579274762,2.732476704, ,,,,,
5063,"Mission, Addition",4.188038371,3.422089829,3.180413293,3.600289166,2.703006669, ,,,,,
5064,Domino Addition (Paperback),4.186414229,3.437818593,3.262500327,3.603255404,2.648919012, ,,,,,
5065,Pigs Will Be Pigs: Fun with Math and Money (Paperback),4.048746136,3.422122765,3.322636581,3.716862792,2.637276204, ,,,,,
5066,Mall Mania (Paperback),4.093635006,3.462615813,3.399212977,3.705761296,2.558475604, ,,,,,
5067,Math Fables Too: Making Science Count (Hardcover),4.181825867,3.486327597,3.148717444,3.570363602,2.726937229, ,,,,,
5068,The Mission of Addition (Paperback),4.161368185,3.531346974,3.248259297,3.598590955,2.649911563, ,,,,,
5069,G Is for Googol: A Math Alphabet Book (Hardcover),4.122793751,3.484344716,3.165023475,3.628951639,2.708606395, ,,,,,
5070,"You Can, Toucan, Math: Word Problem-Solving Fun (Paperback)",4.169255828,3.518859942,3.092452075,3.628701862,2.650355986, ,,,,,
5071,Spaghetti and Meatballs for All! (Hardcover),4.104399712,3.534008743,3.165679065,3.599478331,2.68628723, ,,,,,
5072,Tyrannosaurus Math (Hardcover),4.125815854,3.507160267,3.09485729,3.569354597,2.72426734, ,,,,,
5073,Intuitive Thinking as a Spiritual Path: A Philosophy of Freedom (Cw 4),4.229911708,3.483865198,3.296470733,3.561400596,2.572250194, ,,,,,
5074,If You Were a Plus Sign (Hardcover),4.138537746,3.48737249,3.290223711,3.661616727,2.599183887, ,,,,,
5075,"Grandville BÃªte Noire (Grandville, #3)",4.224481524,3.461691265,3.293439718,3.602942807,2.612388878, ,,,,,
5076,The Boat People,4.133863531,3.564326,3.406829927,3.514509645,2.49031905, ,,,,,
5077,The Biggest Smallest Christmas Present (Hardcover),4.14806139,3.525345602,3.386881369,3.692553667,2.617202328, ,,,,,
5078,All Souls Day (Days of Ascension #1),4.256979857,3.705610082,3.323781049,3.611066804,2.506743689, ,,,,,
5079,"A Tangle of Knots (A Tangle of Knots, #1)",4.250193463,3.417904157,3.32261415,3.60565403,2.676349581, ,,,,,
5080,Sparkers (Hardcover),4.217463651,3.415260553,3.248726946,3.596816858,2.61379818, ,,,,,
5081,Drizzle (Hardcover),4.220778357,3.429127737,3.298253906,3.671083501,2.612109325, ,,,,,
5082,Luna (Paperback),4.179897716,3.470721106,3.454319191,3.67256002,2.659806115, ,,,,,
5083,The Crooked Sixpence (The Uncommoners #1),4.241616894,3.457432349,3.336091717,3.661609281,2.585487013, ,,,,,
5084,Money Math: Addition and Subtraction (Hardcover),4.064818449,3.42654415,3.152408489,3.616338197,2.73468092, ,,,,,
5085,ONE Very Big Bear (Hardcover),4.107656672,3.475046244,3.252658872,3.543891953,2.730073599, ,,,,,
5086,"Ember (Black Inferno, #3)",4.115892103,3.418486642,3.459411125,3.652168541,2.730981913, ,,,,,
5087,Swap! (Hardcover),4.150762247,3.490303277,3.209169573,3.669012519,2.635474626, ,,,,,
5088,I See Reality: Twelve Short Stories About Real Life (Hardcover),4.209708416,3.579173345,3.256136642,3.578062645,2.6536793, ,,,,,
5089,Adding It Up: Get Set for Kindergarten #6 (Paperback),4.176430723,3.546067823,3.301619593,3.496919782,2.735225306, ,,,,,
5090,Ten Friends (Hardcover),4.240673997,3.373104878,3.205163133,3.684344924,2.615609839, ,,,,,
5091,Why Before How: Singapore Math Computation Strategies (Paperback),3.994134762,3.55960963,3.31001619,3.666696731,2.754119621, ,,,,,
5092,Superhero School (Hardcover),4.077770657,3.535682175,3.209219658,3.603904846,2.662460109, ,,,,,
5093,100 Snowmen (Kindle Edition),4.113469091,3.506460706,3.206242065,3.606299188,2.689705402, ,,,,,
