ID,Title,OPN,CON,EXT,AGR,NEU,Clusters,,,,,
50,"Varanger (The Life and Times of Corban Loosestrife, #4)",4.217077492,3.587120609,3.324038611,3.602699869,2.513600645, ,,,,,
51,A Room of One's Own (Paperback),4.273737343,3.59302023,3.44338632,3.695080193,2.392249951, ,,,,,
52,Cantar de Valtario (Paperback),0,0,0,0,0, ,,,,,
53,The Tale of Lady Ochikubo (Hardcover),4.174961747,3.522607332,3.329493663,3.581217812,2.576032153, ,,,,,
54,Dulcitius,4.149949964,3.413114041,3.20884456,3.633544375,2.604855955, ,,,,,
55,From the Meadows of Gold (Paperback),4.222873965,3.545718531,3.322254436,3.656861537,2.513939811, ,,,,,
56,The TÃ¡in: From the Irish Epic TÃ¡in BÃ³ CÃºailnge (Paperback),4.26535252,3.579162211,3.209197987,3.527762864,2.520002412, ,,,,,
57,Crusaders: The Epic History of the Wars for the Holy Lands (Hardcover),4.158400377,3.5172297,3.260744483,3.523016776,2.537056045, ,,,,,
58,A Day of Fire: A Novel of Pompeii (Kindle Edition),4.267206846,3.508984373,3.275992837,3.572883701,2.607802082, ,,,,,
59,Great Maria (Paperback),4.223668828,3.460415081,3.328639498,3.584041685,2.58049132, ,,,,,
60,English Poetry from Chaucer to Gray: Part 40 Harvard Classics (Paperback),4.191846079,3.504534219,3.312973049,3.559033275,2.682284845, ,,,,,
61,Enchantment (Paperback),4.193523244,3.4370179,3.334342214,3.668884025,2.547475336, ,,,,,
62,Anna of Byzantium (Paperback),4.186735246,3.420202283,3.341681051,3.583793317,2.617895948, ,,,,,
63,The Forty Thieves: Marjanaâ€™s Tale (Hardcover),4.208960571,3.564424267,3.294396234,3.682353614,2.62423883, ,,,,,
64,Alfred the Great: Asser's Life of King Alfred and Other Contemporary Sources (Paperback),4.21884746,3.418782604,3.298085421,3.57241929,2.55809802, ,,,,,
65,Vikings: A Concise History of the Vikings (Kindle Edition),4.162680354,3.543383134,3.309609632,3.511556058,2.625620244, ,,,,,
66,France: A History: from Gaul to de Gaulle (Kindle Edition),4.180922,3.542116977,3.286234776,3.64533069,2.420080655, ,,,,,
67,France: A History (Kindle Edition),4.148006603,3.470651264,3.244642877,3.604083197,2.529869168, ,,,,,
68,Rise to Greatness: The History of Canada From the Vikings to the Present (Hardcover),4.119915624,3.471550595,3.305510136,3.539754632,2.539987203, ,,,,,
69,Eastern Europe!: Everything You Need to Know About the History (and More) of a Region that Shaped Our World and Still Does,4.166994618,3.463007095,3.337421234,3.673260456,2.578723341, ,,,,,
70,A History of Japan (Paperback),4.136292509,3.469432543,3.32318247,3.528068817,2.612864722, ,,,,,
71,"A Brief History of Indonesia: Sultans, Spices, and Tsunamis: The Incredible Story of Southeast Asia's Largest Nation (Paperback)",4.210824154,3.464067047,3.307736509,3.621433833,2.532132162, ,,,,,
72,The History of Iceland (Paperback),4.162322659,3.445020876,3.260340128,3.714469064,2.522234247, ,,,,,
73,A Short History of Switzerland: From the Formation of the Alps to Federer (Kindle Edition),0,0,0,0,0, ,,,,,
74,Restless Empire: A Historical Atlas of Russia (Hardcover),4.211372835,3.439753399,3.249565455,3.63878579,2.408535927, ,,,,,
75,The Peoples of Sicily: A Multicultural Legacy (Paperback),0,0,0,0,0, ,,,,,
76,Holland The History of the Netherlands (Kindle Edition),4.265188174,3.541831968,3.123777881,3.513137298,2.545869149, ,,,,,
77,The Worlds of Medieval Europe (Paperback),4.182225125,3.479557881,3.291057772,3.612506393,2.586206219, ,,,,,
78,"Royalty's Strangest Characters: Extraordinary But True Tales from 2,000 Years of Mad Monarchs and Raving Rulers (Strangest series)",4.171049195,3.531765318,3.188378569,3.63422867,2.587607188, ,,,,,
79,Thunder God (Paperback),4.215152978,3.492462671,3.35364992,3.586168839,2.576881455, ,,,,,
80,The Tragedy of Sohrab and Rostam: Revised Edition (Paperback),4.255560282,3.57785982,3.169157542,3.711030179,2.48884978, ,,,,,
81,Queenship in Medieval Europe (Hardcover),4.317434918,3.589182018,2.81428385,3.739836261,2.582378798, ,,,,,
82,The Cartoon History of the Universe III: From the Rise of Arabia to the Renaissance (Paperback),4.186327609,3.516233818,3.300633444,3.606255566,2.55433203, ,,,,,
83,The Raven and the Cross (Erik Haraldsson Book 2),4.243246456,3.3976081,3.492084138,3.51402206,2.424527131, ,,,,,
84,Bloodaxe (Erik Haraldsson #1),4.177692741,3.416973196,3.268765521,3.570174536,2.66567047, ,,,,,
85,Vietnam: A New History (Hardcover),4.168136928,3.577298353,3.280944955,3.551625004,2.50661802, ,,,,,
86,History of Norway (Kindle Edition),4.034101154,3.492732703,3.301795538,3.436551651,2.749422133, ,,,,,
87,The Gates of Europe: A History of Ukraine (Hardcover),4.186512486,3.524445816,3.344971639,3.6060355,2.48284494, ,,,,,
88,Viet Nam: A History from Earliest Times to the Present (Hardcover),4.144713684,3.565969997,3.322189475,3.59822343,2.469236635, ,,,,,
89,The Pursuit of Italy (Hardcover),4.190330238,3.552958221,3.393708209,3.544751159,2.489313336, ,,,,,
90,India: A History (Paperback),4.139042138,3.552294524,3.287333783,3.670066825,2.41482796, ,,,,,
91,Fire and Blood: A History of Mexico (Paperback),4.144411439,3.52775808,3.299865233,3.571967729,2.522703973, ,,,,,
92,War in Human Civilization (Hardcover),4.202532594,3.674095725,3.325034156,3.604817044,2.410372956, ,,,,,
93,Medieval Women: A Social History of Women in England 450-1500 (Paperback),4.120190851,3.493113806,3.301014107,3.66036385,2.599737836, ,,,,,
94,China's Cosmopolitan Empire: The Tang Dynasty (Hardcover),4.20600833,3.448185498,3.267549875,3.619913667,2.54036161, ,,,,,
95,The Age of Confucian Rule: The Song Transformation of China (Hardcover),4.202982638,3.411000946,3.32550112,3.553388026,2.595909248, ,,,,,
96,Queens and Queenship in Medieval Europe: Proceedings of a Conference Held at King's College London April 1995 (Paperback),4.305270616,3.466790204,3.028859414,3.723823423,2.798174971, ,,,,,
97,Alternate Histories of the World (Hardcover),4.193275848,3.46493465,3.244228811,3.624296952,2.604390541, ,,,,,
98,"The Arabian Nights: Tales of 1001 Nights, Volume 1 (Paperback)",4.287407458,3.505557503,3.195942626,3.562983226,2.56383147, ,,,,,
99,"The Arabian Nights: Tales of 1001 Nights, Volume 2 (Paperback)",4.2599887,3.477719627,3.180977686,3.545012698,2.615256885, ,,,,,
100,The Earth and Its Peoples: A Global History (Hardcover),4.116608875,3.340012032,3.267591245,3.65369296,2.645064019, ,,,,,
101,The Virgin in the Ice (Chronicles of Brother Cadfael #6),4.283430002,3.487229599,3.23179385,3.615991741,2.548430507, ,,,,,
102,The Way of Sufi Chivalry (Paperback),4.208872521,3.505571426,3.197885298,3.587031406,2.720941624, ,,,,,
103,The Elements Encyclopedia of the Celts (Paperback),4.17086691,3.467190017,3.26103257,3.665299604,2.669849488, ,,,,,
104,The Irish - A Treasury of Art and Literature (Hardcover),4.481274586,3.785356396,3.215513188,3.550448585,2.676619298, ,,,,,
105,Civilisation (Paperback),4.268887084,3.529225625,3.281088337,3.586648803,2.574956659, ,,,,,
106,Women at Work in Medieval Europe (Hardcover),4.053435507,3.564493768,3.410222013,3.68923512,2.546209694, ,,,,,
107,The Adventure of English: The Biography of a Language (Paperback),4.234773796,3.38068371,3.126558165,3.659885763,2.593523386, ,,,,,
108,Saga: A Novel of Medieval Iceland (Hardcover),4.187815518,3.469931221,3.288718835,3.538861879,2.633992359, ,,,,,
109,The True Story of Hansel and Gretel (Paperback),4.195134795,3.513720087,3.275655454,3.586534905,2.615933902, ,,,,,
110,Athelstan: The Making of England (Hardcover),4.227242467,3.472340132,3.35009665,3.540383394,2.575949955, ,,,,,
111,Ù…Ø±ÙˆØ¬ Ø§Ù„Ø°Ù‡Ø¨ ÙˆÙ…Ø¹Ø§Ø¯Ù† Ø§Ù„Ø¬ÙˆÙ‡Ø±ØŒ #1,0,0,0,0,0, ,,,,,
112,"Medieval Iberia: Readings from Christian, Muslim, and Jewish Sources (Paperback)",4.2172549,3.521957617,3.275975422,3.662602754,2.595376659, ,,,,,
